index,year,consumer_price_index,emp_pop_ratio,,,gdp_per_capita,lendding_int_rate,le_birth,mortaility_infant,mortality,mortality_under5,uemp
0,2000,85.69880785,52.909,2.84E+12,34490.07577,23694.76048,,77.92682927,4.4,2.8,5.4,7.92
1,2001,87.39894991,53.014,2.88E+12,35011.06846,23628.32721,,78.32926829,4.3,2.7,5.2,7.77
2,2002,88.64071957,52.414,2.88E+12,34883.05807,25197.2656,,78.22926829,4.2,2.7,5.1,8.48
3,2003,89.55746156,51.714,2.86E+12,34619.66407,30310.3576,,78.3804878,4.1,2.7,5,9.78
4,2004,91.04925331,50.768,2.89E+12,35034.08061,34106.65812,,78.6804878,4,2.6,4.9,10.73
5,2005,92.45770436,51.894,2.91E+12,35310.47047,34520.23965,,78.93170732,3.9,2.6,4.7,11.17
6,2006,93.91615662,52.917,3.02E+12,36699.44678,36353.88033,,79.13170732,3.8,2.6,4.6,10.25
7,2007,96.07467298,54.028,3.11E+12,37842.35779,41640.08087,,79.53414634,3.7,2.5,4.5,8.66
8,2008,98.59988029,54.785,3.14E+12,38278.31301,45612.71062,,79.73658537,3.6,2.4,4.4,7.52
9,2009,98.90824058,54.793,2.96E+12,36190.39289,41650.36783,,79.83658537,3.5,2.4,4.3,7.74
10,2010,100,55.232,3.09E+12,37760.91363,41572.45595,,79.98780488,3.5,2.3,4.2,6.97
11,2011,102.0751728,56.593,3.21E+12,39977.34171,46705.8958,,80.43658537,3.4,2.3,4.1,5.82
12,2012,104.1253413,56.838,3.22E+12,40069.35396,43855.85447,,80.53902439,3.4,2.3,4,5.38
13,2013,105.6921396,57.194,3.24E+12,40135.01583,46298.92292,,80.4902439,3.3,2.3,4,5.23
14,2014,106.6505496,57.402,3.31E+12,40851.16173,48023.86998,,81.0902439,3.3,2.3,4,4.98
15,2015,107.1991879,57.39,3.36E+12,41103.25644,41103.25644,,80.64146341,3.3,2.3,3.9,4.62
16,2016,107.7263367,58.487,3.43E+12,41682.03224,42136.12079,,80.9902439,3.3,2.3,3.9,4.12
17,2017,109.3524602,58.915,3.52E+12,42639.55441,44652.58917,,80.99268293,3.3,2.3,3.9,3.75
18,2018,111.2466294,59.209,3.56E+12,42928.74124,47939.27829,,80.89268293,3.2,2.3,3.8,3.38
19,2019,112.8548771,59.976,3.60E+12,43292.68389,46805.13843,,81.29268293,3.2,2.3,3.7,3.14
20,2020,113.0183789,58.309,3.46E+12,41601.97316,46749.47623,,81.04146341,3.1,2.2,3.6,3.86
21,2021,116.4842759,58.346,3.57E+12,42900.02252,51426.75037,,80.90097561,3,2.2,3.6,3.64
