index,year,consumer_price_index,emp_pop_ratio,gdp_per_capita,lendding_int_rate,le_birth,mortaility_infant,mortality,mortality_under5,uemp
0,2000,102.6676151,59.474,39169.35957,2.067166667,81.07609756,3.3,1.8,4.5,4.75
1,2001,101.9078177,58.878,34406.18246,1.969416667,81.41634146,3.1,1.7,4.3,5.02
2,2002,100.9667051,57.93,32820.79364,1.864916667,81.69073171,3,1.7,4.1,5.39
3,2003,100.7076833,57.58,35387.03742,1.822083333,81.76,2.9,1.6,4,5.25
4,2004,100.6990493,57.562,38298.98017,1.766583333,82.0302439,2.8,1.5,3.9,4.73
5,2005,100.4141253,57.731,37812.89502,1.676916667,81.95512195,2.8,1.4,3.7,4.45
6,2006,100.664513,57.888,35991.546,1.664833333,82.32195122,2.7,1.3,3.6,4.19
7,2007,100.7249514,58.041,35779.02454,1.88325,82.50707317,2.6,1.3,3.5,3.89
8,2008,102.1150352,57.754,39876.30397,1.9095,82.58756098,2.5,1.2,3.4,4
9,2009,100.7335855,56.825,41308.99684,1.723333333,82.93146341,2.4,1.2,3.3,5.07
10,2010,100,56.541,44968.15623,1.598333333,82.84268293,2.3,1.1,3.2,5.1
11,2011,99.72754438,56.554,48760.07895,1.500916667,82.59121951,2.3,1,3.2,4.55
12,2012,99.68359993,56.437,49145.28043,1.4075,83.09609756,2.2,1,3,4.36
13,2013,100.0175778,56.856,40898.6479,1.30375,83.33195122,2.1,1,2.9,4.04
14,2014,102.7772895,57.306,38475.39525,1.219166667,83.58780488,2.1,0.9,2.8,3.59
15,2015,103.5946564,57.483,34960.63938,1.142833333,83.79390244,2,0.9,2.8,3.39
16,2016,103.462823,58.112,39375.47316,1.04475,83.98487805,2,0.9,2.7,3.13
17,2017,103.9637898,58.736,38834.05293,0.994,84.0997561,1.9,0.9,2.6,2.82
18,2018,104.99209,59.932,39751.1331,,84.21097561,1.9,0.9,2.5,2.47
19,2019,105.4842679,60.553,40415.95676,,84.35634146,1.8,0.9,2.5,2.35
20,2020,105.4579012,60.209,40040.76551,,84.56,1.8,0.8,2.4,2.81
21,2021,105.2118123,60.362,40058.53733,,84.44560976,1.7,0.8,2.3,2.83
