Country Name,Country Code,Indicator Name,Indicator Code,G,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897,57900937467,68117272181,1.04E+11,1.24E+11,1.56E+11,1.72E+11,1.31E+11,2.44E+11,2.80E+11,2.41E+11,2.91E+11,2.68E+11,2.42E+11,1.75E+11,1.66E+11,2.35E+11,1.87E+11,2.53E+11,3.44E+11
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1,1.056182715,2.262251841,4.444268949,5.987186165,4.8808632,4.651812663,4.725343843,4.435501024,3.748958593,3.475125903,3.512988538,3.609081135,3.487418899,3.483641535,4.554263482,4.508600503,4.400983342,3.733610711,2.568894307,4.003544569,3.708806517,2.827105336,3.039854863,2.55924761,2.192177731,1.555636999,1.349123696,1.693894284,1.310715932,1.723175549,1.930786223
China,CHN,"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,1,207000000,228000000,108000000,395000000,350000000,1672000000,4423000000,247000000,384000000,556211000,912000000,1679318428,3342737377,4626861352,,,,,,,,,,,,,6977480836,6196417436,4036530450,4161951877,5361455676
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1,3.556685652,6.35398134,14.61007864,24.25698972,16.79122517,8.313160289,2.786465055,-0.773186012,-1.401472683,0.347811227,0.719125609,-0.731970902,1.127603487,3.824637431,1.776414077,1.649430995,4.816767674,5.92525137,-0.728165251,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136
China,CHN,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,1,,,,,,0.563239992,0.63872999,0.646889985,0.749629974,0.893159986,0.940330029,1.057860017,1.12037003,1.214980006,1.307919979,1.368540049,1.373690009,1.445919991,1.664800048,1.713719964,1.780339956,1.912140012,1.997859955,2.022429943,2.057009935,2.100330114,2.116029978,2.140579939,2.244630098,2.40666008,2.432600021
China,CHN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,1,,,,,,,,,,,,,,,9.625040826,10.12516151,16.73450248,11.07653773,11.66270616,11.23107994,11.23872601,11.13895896,10.95623652,15.81817803,16.04302306,15.62992643,15.88317205,16.53589554,16.10057039,14.08608684,14.9369704
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1,13.43637117,13.55554446,11.99788329,18.53674857,17.95252283,17.92329555,19.49316446,18.34210003,18.16247676,20.8936972,20.31214574,22.64474567,26.98075653,31.06133758,33.82985757,36.03502555,35.43479853,32.60271402,24.74985594,27.18533272,26.56818934,25.49252223,24.59925444,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.5861392,19.94397383
China,CHN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,1,25.70379885,30.34731964,37.09223299,34.44061642,32.34096881,31.64200474,31.0030962,32.88259458,32.53712589,32.57741759,33.45352637,35.05836605,38.25768533,39.52966373,39.42581557,38.7254881,37.89246834,39.06117809,43.81157102,43.92930477,43.86136146,44.24983199,44.51876555,43.8560937,42.09432828,41.55236492,41.8611853,42.84303114,42.82258435,42.48607855,41.95125398
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,1,35.23636005,39.07186801,43.28314976,40.05028547,38.8377198,37.54172047,35.52294565,34.81368233,34.10970891,33.57302849,35.54159672,36.15344344,39.62013059,41.84719726,40.34614955,39.9103387,40.48219017,42.26902681,45.35623583,46.55615471,46.6601211,46.22526559,46.39894934,45.82395276,43.23480666,42.63137693,43.01329739,43.79347517,43.25110564,43.36667423,43.14029907
